,Date,Median_Income,Consumer_Delinquency_Rates,Unemployment_Rates
0,2003,59286.0,2.525,5.991666666666667
1,2004,59080.0,2.165,5.541666666666668
2,2005,59712.0,1.9975,5.083333333333333
3,2006,60178.0,2.0275,4.608333333333333
4,2007,60985.0,3.1175,4.616666666666667
5,2008,58811.0,5.5975,5.8
6,2009,58400.0,7.699999999999998,9.283333333333333
7,2010,56873.0,6.6324999999999985,9.608333333333333
8,2011,56006.0,4.935,8.933333333333334
9,2012,55900.0,4.2525,8.075000000000001
10,2013,57856.0,3.4025,7.358333333333333
11,2014,56969.0,2.8550000000000004,6.158333333333334
12,2015,59901.0,2.5975,5.275
13,2016,61779.0,2.39,4.875
14,2017,62626.0,2.385,4.3500000000000005
15,2018,63179.0,2.325,3.891666666666666
