,Date,Median_Income
0,1984-01-01,51742.0
1,1985-01-01,52709.0
2,1986-01-01,54608.0
3,1987-01-01,55260.0
4,1988-01-01,55716.0
5,1989-01-01,56678.0
6,1990-01-01,55952.0
7,1991-01-01,54318.0
8,1992-01-01,53897.0
9,1993-01-01,53610.0
10,1994-01-01,54233.0
11,1995-01-01,55931.0
12,1996-01-01,56744.0
13,1997-01-01,57911.0
14,1998-01-01,60040.0
15,1999-01-01,61526.0
16,2000-01-01,61399.0
17,2001-01-01,60038.0
18,2002-01-01,59360.0
19,2003-01-01,59286.0
20,2004-01-01,59080.0
21,2005-01-01,59712.0
22,2006-01-01,60178.0
23,2007-01-01,60985.0
24,2008-01-01,58811.0
25,2009-01-01,58400.0
26,2010-01-01,56873.0
27,2011-01-01,56006.0
28,2012-01-01,55900.0
29,2013-01-01,57856.0
30,2014-01-01,56969.0
31,2015-01-01,59901.0
32,2016-01-01,61779.0
33,2017-01-01,62626.0
34,2018-01-01,63179.0
